@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
96.00, 85.90, 12.30, 46.40, 27.90, 0.67, 6.10, 10.00, 2.45, 0.00, 0.00, 13.10, 0.00, 0.00, 0.40, 0.00, 301 
96.30, 86.50, 12.80, 45.40, 27.40, 0.65, 4.80, 12.70, 2.59, 0.00, 0.00, 13.80, 0.00, 0.00, 0.50, 0.00, 301 
95.50, 86.00, 11.80, 47.10, 27.80, 0.53, 5.00, 12.00, 2.47, 0.00, 0.30, 12.40, 0.00, 0.40, 0.00, 0.00, 301 
95.90, 85.60, 12.70, 46.20, 29.70, 0.77, 5.50, 11.40, 2.05, 0.00, 0.00, 11.00, 0.00, 0.30, 0.00, 0.00, 301 
96.10, 86.00, 13.30, 47.10, 26.90, 0.59, 5.80, 9.30, 2.32, 0.00, 0.00, 12.40, 0.00, 0.00, 0.40, 0.00, 301 
96.10, 86.20, 13.40, 44.00, 28.60, 0.61, 5.80, 12.20, 2.56, 0.00, 0.20, 13.30, 0.00, 0.00, 0.40, 0.00, 301 
96.30, 85.80, 13.40, 46.60, 26.70, 0.55, 6.60, 8.80, 2.46, 0.00, 0.20, 12.90, 0.00, 0.00, 0.20, 0.00, 301 
96.20, 86.30, 14.50, 43.60, 27.70, 0.59, 5.30, 12.80, 2.58, 0.00, 0.00, 13.70, 0.00, 0.00, 0.50, 0.00, 301 
97.60, 86.60, 16.10, 41.40, 29.10, 0.42, 4.80, 13.80, 2.45, 0.00, 0.20, 13.20, 0.00, 0.00, 0.20, 0.00, 301 
99.40, 87.30, 5.50, 43.40, 33.40, 0.12, 9.10, 8.40, 3.17, 0.00, 0.00, 15.20, 1.00, 1.10, 0.40, 0.00, 401 
99.10, 87.20, 5.90, 39.30, 35.30, 0.32, 10.00, 9.54, 3.50, 0.00, 0.00, 17.10, 0.00, 1.10, 1.30, 0.00, 401 
98.30, 88.20, 5.90, 43.70, 35.90, 0.50, 5.90, 17.60, 2.61, 0.00, 0.00, 13.90, 0.00, 0.00, 0.50, 0.00, 401 
98.90, 88.20, 8.20, 42.50, 34.50, 0.49, 4.60, 18.70, 2.90, 0.10, 0.10, 13.80, 0.00, 0.00, 0.40, 1.00, 401 
78.90, 76.20, 3.00, 73.70, 19.70, 3.55, 4.00, 7.00, 0.59, 0.00, 0.00, 0.90, 0.00, 1.30, 1.40, 0.00, 100 
76.40, 77.70, 6.00, 67.80, 22.80, 3.75, 4.80, 6.40, 0.54, 0.00, 0.00, 0.70, 0.00, 1.20, 1.50, 0.00, 100 
83.00, 83.80, 6.00, 73.70, 16.70, 3.21, 3.90, 3.80, 0.58, 0.00, 0.00, 0.60, 0.00, 1.30, 1.70, 0.00, 100 
